PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID
555781,"Henri Jokiharju",2500,D,FIN,TBD,,1057138,4,,,0.0047,0.0224,0.1244,0,0,0,0,0,0,0,0.0271,0,0.34,0,5.73,0,,555781,0.133,0.31,13.9,,,82822,1,4.21,5.95,91,0.14
194540,"Eeli Tolvanen",3900,W,FIN,TBD,,1057139,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,194540,0,0,,,,39768,1,1.15,1.15,92,0
1166546,"Mikko Lehtonen",2500,D,FIN,TBD,,1166546,4,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,1166546,0,0,,,,,1,1.15,1.15,93,0
18700,"Joel Armia",2500,W,FIN,TBD,,600113,4,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,18700,0,0,,,,30591,1,1.15,1.15,94,0
17275,"Erik Haula",2800,C,FIN,TBD,,732005,4,,,0.1213,0.153,1.1376,0,0,0,0,0,0,0,0.2743,0,3.53,0,9.9,0,,17275,1.043,3,13.9,,,30583,1,4.98,7.02,95,1.26
1283920,"Joel Kiviranta",2500,W,FIN,TBD,,1166552,4,,,0.0979,0.114,0.9264,0,0,0,0,0,0,0,0.2119,0,2.8,0,9.12,0,,1283920,1.38,2.66,11.6,,,92104,1,4.94,6.99,96,1.12
4784123,"Nikolas Matinpalo",2800,D,FIN,TBD,,1447084,3,,,0.0195,0.091,0.6242,0,0,0,0,0,0,0,0.1105,0,1.56,0,7.18,0,,4784123,0.715,1.46,11.8,,,265876,1,4.39,6.24,97,0.56
34482,"Juuse Saros",8000,G,FIN,TBD,,744805,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.74,0,,34482,0,0,,,,29995,1,0.58,0,98,0
922135,"Kevin Lankinen",8000,G,FIN,TBD,,1117047,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.74,0,,922135,0,0,,,,81323,1,0.58,0,99,0
7005309,"Oliver Kapanen",3700,C,FIN,TBD,,1321692,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,7005309,0.067,0.03,14.1,,,165003,1,1.15,1.15,100,0
1447333,"Jules Boscq",,D,FRA,CAN,,1447333,1,,,0.015,0.0535,0.9242,0,0,0,0,0,0,0,0.0685,0,1.79,0,7.29,0,,1447333,0,1.23,,,,,1,4.3,6.03,101
917153,"Alexandre Texier",,W,FRA,CAN,,1057153,1,1,,0.0836,0.1308,1.9808,0,0,0,0,0,0.0197,0.0385,0.2144,0.0582,4.49,0,11.29,0,,917153,1.271,3.67,156.1,,,87772,1,5.31,7.29,102
1136940,"Charles Bertrand",,W,FRA,CAN,,1136940,3,1,,0.043,0.0565,1.0649,0,0,0,0,0,0,0,0.0995,0,2.26,0,7.83,0,,1136940,0,1.55,,,,,1,4.35,6.06,103
1166439,"Hugo Gallet",,D,FRA,CAN,,1166439,1,1,,0.0185,0.0657,1.1357,0,0,0,0,0,0,0,0.0842,0,2.21,0,7.78,0,,1166439,0,1.51,,,,,1,4.35,6.06,104
1447332,"Justin Addamo",,W,FRA,CAN,,1447332,4,2,,0.0314,0.0413,0.7786,0,0,0,0,0,0,0,0.0727,0,1.65,0,7.12,0,,1447332,0,1.13,,,,,1,4.27,6,105
1510681,"Enzo Cantagallo",,D,FRA,CAN,,1510681,2,,,0.0122,0.0433,0.7489,0,0,0,0,0,0,0,0.0555,0,1.45,0,6.92,0,,1510681,0,1,,,,,1,4.27,6,106
1166450,"Florian Chakiachvili",,D,FRA,CAN,,1166450,2,2,,0.0132,0.047,0.8129,0,0,0,0,0,0,0,0.0602,0,1.57,0,7.04,0,,1166450,0,1.08,,,,,1,4.27,6,107
1635448,"Floran Douay",,W,FRA,CAN,,1635448,4,,,0.0275,0.0361,0.6805,0,0,0,0,0,0,0,0.0636,0,1.44,0,6.85,0,,1635448,0,0.99,,,,,1,4.23,5.97,108
1166454,"Sacha Treille",,W,FRA,CAN,,1166454,4,1,,0.0364,0.0478,0.9009,0,0,0,0,0,0,0,0.0842,0,1.91,0,7.41,0,,1166454,0,1.31,,,,,1,4.3,6.03,109
1385671,"Enzo Guebey",,D,FRA,CAN,,1385671,3,,,0.0098,0.0349,0.6028,0,0,0,0,0,0,0,0.0447,0,1.16,0,6.57,0,,1385671,0,0.8,,,,,1,4.23,5.97,110
1166452,"Jordann Perret",,W,FRA,CAN,,1166452,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,1166452,0,0,,,,,1,1.15,1.15,111
